customer_id,signup_date,city,state,segment
C00001,2023-07-12,Bangalore,Karnataka,Budget
C00002,2023-01-13,Chandigarh,Punjab,Budget
C00003,2023-11-27,Pune,Maharashtra,Value
C00004,2023-07-14,Chennai,Tamil Nadu,Premium
C00005,2022-12-03,Mumbai,Maharashtra,Value
C00006,2022-07-06,Mumbai,Maharashtra,Budget
C00007,2023-05-28,Mumbai,Maharashtra,Budget
C00008,2024-03-24,Ahmedabad,Gujarat,Budget
C00009,2023-05-08,Chennai,Tamil Nadu,Budget
C00010,2023-08-31,Pune,Maharashtra,Budget
C00011,2023-10-26,Mumbai,Maharashtra,Premium
C00012,2023-04-30,Chandigarh,Punjab,Value
C00013,2023-09-30,Ahmedabad,Gujarat,Value
C00014,2023-08-22,Delhi,Delhi,Budget
C00015,2023-08-22,Delhi,Delhi,Budget
C00016,2024-04-03,Delhi,Delhi,Value
C00017,2023-06-03,Delhi,Delhi,Premium
C00018,2023-04-20,Hyderabad,Telangana,Value
C00019,2023-10-25,Bangalore,Karnataka,Premium
C00020,2022-12-03,Delhi,Delhi,Premium
C00021,2023-11-09,Chennai,Tamil Nadu,Budget
C00022,2024-04-16,Mumbai,Maharashtra,Budget
C00023,2022-12-10,Delhi,Delhi,Value
C00024,2024-03-24,Bangalore,Karnataka,Value
C00025,2023-03-29,Bangalore,Karnataka,Budget
C00026,2023-05-31,Kolkata,West Bengal,Value
C00027,2023-10-31,Delhi,Delhi,Value
C00028,2023-06-17,Hyderabad,Telangana,Premium
C00029,2024-05-11,Chennai,Tamil Nadu,Budget
C00030,2024-01-22,Mumbai,Maharashtra,Budget
C00031,2023-12-24,Chennai,Tamil Nadu,Value
C00032,2024-03-02,Mumbai,Maharashtra,Value
C00033,2023-05-18,Mumbai,Maharashtra,Value
C00034,2023-09-12,Lucknow,Uttar Pradesh,Premium
C00035,2023-10-30,Chandigarh,Punjab,Value
C00036,2023-12-31,Kolkata,West Bengal,Value
C00037,2023-04-10,Delhi,Delhi,Budget
C00038,2023-07-22,Mumbai,Maharashtra,Value
C00039,2024-01-16,Pune,Maharashtra,Value
C00040,2022-10-25,Bangalore,Karnataka,Premium
C00041,2023-05-24,Mumbai,Maharashtra,Premium
C00042,2023-05-13,Hyderabad,Telangana,Value
C00043,2022-11-09,Mumbai,Maharashtra,Value
C00044,2023-01-25,Jaipur,Rajasthan,Budget
C00045,2022-11-09,Delhi,Delhi,Budget
C00046,2022-09-05,Chennai,Tamil Nadu,Budget
C00047,2024-05-27,Delhi,Delhi,Budget
C00048,2024-06-16,Hyderabad,Telangana,Value
C00049,2023-12-09,Hyderabad,Telangana,Budget
C00050,2023-02-24,Delhi,Delhi,Value
C00051,2022-08-28,Chandigarh,Punjab,Value
C00052,2022-07-21,Kolkata,West Bengal,Value
C00053,2023-05-06,Lucknow,Uttar Pradesh,Value
C00054,2023-12-10,Jaipur,Rajasthan,Budget
C00055,2024-01-27,Chennai,Tamil Nadu,Premium
C00056,2023-05-14,Lucknow,Uttar Pradesh,Budget
C00057,2023-09-07,Mumbai,Maharashtra,Premium
C00058,2024-06-13,Delhi,Delhi,Budget
C00059,2023-02-19,Mumbai,Maharashtra,Value
C00060,2024-02-15,Delhi,Delhi,Budget
C00061,2022-12-12,Bangalore,Karnataka,Budget
C00062,2022-08-02,Delhi,Delhi,Value
C00063,2024-05-20,Ahmedabad,Gujarat,Value
C00064,2023-09-02,Bangalore,Karnataka,Budget
C00065,2023-09-10,Delhi,Delhi,Value
C00066,2023-09-16,Hyderabad,Telangana,Budget
C00067,2023-07-02,Mumbai,Maharashtra,Budget
C00068,2022-10-16,Kolkata,West Bengal,Premium
C00069,2023-06-29,Mumbai,Maharashtra,Premium
C00070,2024-02-24,Kochi,Kerala,Value
C00071,2023-10-01,Kolkata,West Bengal,Budget
C00072,2023-10-19,Delhi,Delhi,Budget
C00073,2023-06-22,Mumbai,Maharashtra,Premium
C00074,2024-04-05,Kolkata,West Bengal,Budget
C00075,2023-11-29,Pune,Maharashtra,Premium
C00076,2023-07-09,Pune,Maharashtra,Budget
C00077,2023-03-09,Kolkata,West Bengal,Premium
C00078,2023-09-22,Mumbai,Maharashtra,Budget
C00079,2024-03-17,Bangalore,Karnataka,Budget
C00080,2023-03-07,Mumbai,Maharashtra,Value
C00081,2024-06-08,Ahmedabad,Gujarat,Premium
C00082,2023-11-13,Chennai,Tamil Nadu,Premium
C00083,2024-05-19,Delhi,Delhi,Value
C00084,2023-06-12,Mumbai,Maharashtra,Value
C00085,2023-03-09,Delhi,Delhi,Value
C00086,2024-04-15,Delhi,Delhi,Value
C00087,2023-08-19,Pune,Maharashtra,Premium
C00088,2024-02-10,Chennai,Tamil Nadu,Value
C00089,2022-07-06,Jaipur,Rajasthan,Value
C00090,2023-02-02,Bangalore,Karnataka,Value
C00091,2023-12-03,Mumbai,Maharashtra,Value
C00092,2022-07-22,Pune,Maharashtra,Premium
C00093,2023-02-05,Kolkata,West Bengal,Budget
C00094,2023-08-12,Hyderabad,Telangana,Budget
C00095,2023-01-23,Kolkata,West Bengal,Value
C00096,2023-11-23,Hyderabad,Telangana,Budget
C00097,2023-03-04,Hyderabad,Telangana,Value
C00098,2023-04-04,Bangalore,Karnataka,Premium
C00099,2024-03-16,Mumbai,Maharashtra,Value
C00100,2023-03-03,Mumbai,Maharashtra,Premium
C00101,2023-06-28,Mumbai,Maharashtra,Budget
C00102,2022-10-11,Chennai,Tamil Nadu,Premium
C00103,2023-06-05,Delhi,Delhi,Value
C00104,2024-03-05,Hyderabad,Telangana,Budget
C00105,2023-02-09,Jaipur,Rajasthan,Value
C00106,2023-07-14,Delhi,Delhi,Premium
C00107,2022-12-23,Bangalore,Karnataka,Budget
C00108,2022-10-03,Kolkata,West Bengal,Value
C00109,2022-09-24,Delhi,Delhi,Premium
C00110,2023-08-24,Mumbai,Maharashtra,Budget
C00111,2024-04-29,Delhi,Delhi,Value
C00112,2023-10-18,Mumbai,Maharashtra,Value
C00113,2024-06-26,Lucknow,Uttar Pradesh,Budget
C00114,2023-08-20,Kolkata,West Bengal,Value
C00115,2023-05-11,Chennai,Tamil Nadu,Budget
C00116,2024-06-15,Jaipur,Rajasthan,Value
C00117,2023-09-24,Kolkata,West Bengal,Budget
C00118,2023-05-25,Delhi,Delhi,Budget
C00119,2022-12-27,Jaipur,Rajasthan,Value
C00120,2023-04-17,Hyderabad,Telangana,Budget
C00121,2023-07-02,Kolkata,West Bengal,Budget
C00122,2023-07-13,Jaipur,Rajasthan,Premium
C00123,2023-07-13,Delhi,Delhi,Premium
C00124,2023-08-27,Mumbai,Maharashtra,Premium
C00125,2023-05-16,Delhi,Delhi,Value
C00126,2023-11-13,Bangalore,Karnataka,Premium
C00127,2023-03-29,Kolkata,West Bengal,Premium
C00128,2024-04-03,Ahmedabad,Gujarat,Value
