product_id,category,subcategory,base_price
P00001,Books,Fiction,2717
P00002,Grocery,Staples,904
P00003,Fashion,Footwear,1205
P00004,Grocery,Snacks,1813
P00005,Home & Kitchen,Furniture,20760
P00006,Fashion,Women's Clothing,2786
P00007,Grocery,Staples,114
P00008,Electronics,Cameras,37149
P00009,Fashion,Men's Clothing,1510
P00010,Grocery,Personal Care,1161
P00011,Grocery,Staples,1649
P00012,Grocery,Staples,808
P00013,Books,Fiction,185
P00014,Home & Kitchen,Furniture,17128
P00015,Home & Kitchen,Furniture,4444
P00016,Grocery,Staples,453
P00017,Electronics,Cameras,15379
P00018,Grocery,Snacks,581
P00019,Fashion,Watches,7091
P00020,Electronics,Laptops,3255
P00021,Electronics,Audio,49725
P00022,Home & Kitchen,Decor,6258
P00023,Grocery,Staples,611
P00024,Books,Non-Fiction,1295
P00025,Books,Children's,1697
P00026,Grocery,Beverages,150
P00027,Electronics,Accessories,22742
P00028,Fashion,Women's Clothing,1270
P00029,Electronics,Laptops,16357
P00030,Fashion,Footwear,7100
P00031,Home & Kitchen,Cookware,13216
P00032,Home & Kitchen,Cookware,15824
P00033,Electronics,Audio,64272
P00034,Grocery,Staples,1596
P00035,Grocery,Beverages,1979
P00036,Fashion,Footwear,6299
P00037,Books,Academic,1141
P00038,Fashion,Men's Clothing,4447
P00039,Fashion,Watches,3980
P00040,Grocery,Staples,1828
P00041,Fashion,Watches,4119
P00042,Books,Fiction,1226
P00043,Home & Kitchen,Decor,4618
P00044,Home & Kitchen,Decor,8074
P00045,Home & Kitchen,Furniture,5593
P00046,Grocery,Staples,1795
P00047,Electronics,Smartphones,62394
P00048,Home & Kitchen,Furniture,1606
P00049,Grocery,Beverages,1983
P00050,Electronics,Smartphones,42590
P00051,Electronics,Laptops,61464
P00052,Fashion,Men's Clothing,7997
P00053,Home & Kitchen,Appliances,24353
P00054,Grocery,Beverages,227
P00055,Books,Children's,2005
P00056,Home & Kitchen,Decor,6773
P00057,Grocery,Snacks,1638
